generation,individual,pv_error,delay_diff,size_penalty,tau_mismatch,spec_err,reason,keep_count,delta_T,delta_Y,delay_red,fitness
3,6,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",19,0.0,0.0,0.0,-1000000.0
3,7,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
3,8,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
3,9,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",21,0.0,0.0,0.0,-1000000.0
3,10,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
3,11,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
3,12,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
3,13,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
3,14,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
3,15,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
3,16,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-3.59, max|ΔY|=0.000769",22,0.0,0.0,0.0,-1000000.0
3,17,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
3,18,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
3,19,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
3,20,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
3,21,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
3,22,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-3.58, max|ΔY|=0.000768",22,0.0,0.0,0.0,-1000000.0
3,23,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
3,24,0.5208378468218321,0.5637725077861712,0.04955500177999287,24.24608605112945,28152672465.675114,,22,1247.8897842530782,0.19251503272296785,0.0018284347373522165,-56305344961.80443
3,25,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
3,26,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
3,27,0.9996069847569906,3.2762601142950647,0.04955500177999287,59.7267097653514,67279967883.68166,,22,146.2122078995451,0.02653440418562808,0.005,-134559935860.9018
3,28,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
3,29,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
4,0,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,1,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-3.58, max|ΔY|=0.000768",22,0.0,0.0,0.0,-1000000.0
4,2,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-3.59, max|ΔY|=0.000769",22,0.0,0.0,0.0,-1000000.0
4,3,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
4,4,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,5,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,6,0.9987423844501992,3.2762601142950647,0.04955500177999287,115.758372234602,71623439781.07047,,22,2.531663360609855,0.0016902785161604372,0.005,-143246879711.7102
4,7,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,8,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
4,9,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,10,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,11,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,12,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,13,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
4,14,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
4,15,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,16,0.9992030657482686,3.2762601142950647,0.04955500177999287,126.03565022733926,71748791364.97963,,22,1.2838524301673715,0.0010889122642608051,0.005,-143497582889.80627
4,17,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,18,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,19,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-3.59, max|ΔY|=0.000769",22,0.0,0.0,0.0,-1000000.0
4,20,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,21,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,22,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,23,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
4,24,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,25,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
4,26,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,27,0.9992056820043884,3.2762601142950647,0.04955500177999287,126.15350061785327,71749569436.54071,,22,1.2797481887184858,0.0010848905482257754,0.005,-143499139033.0463
4,28,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
4,29,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
5,0,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
5,1,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
5,2,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
