generation,individual,pv_error,delay_diff,size_penalty,tau_mismatch,pen_species,reason,keep_count,delta_T,delta_Y,delay_red,fitness
67,8,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",31,0.0,0.0,0.0,-1000000.0
67,9,0.9076975908021198,1.1196625091835257,0.4981132075471697,58.21293038667602,0.041290501262171986,,30,1248.792457287288,0.18266224798631864,0.003969769692355627,-73.88050132047105
67,10,0.9993376777918538,2.7376570214782796,0.4981132075471697,82.42062706887207,0.04889096030417436,,30,96.20906115399885,0.017838500351858466,0.007,-117.74778141803392
67,11,0.6219094072218616,0.5149331171041349,0.5547169811320753,49.835507323598904,0.001587009062611949,,31,1248.7932454299003,0.18266193306739037,0.0009084483035118389,-57.2230712984547
67,12,0.9999987661061912,2.7376570214782796,0.2716981132075471,172.87541369200218,0.049173969470603034,,26,1.3370049891786948,0.0005848317007836404,0.007,-207.98247421846733
67,13,0.9483368104056931,1.8147062831873075,0.4981132075471697,64.05020295118719,0.044786151647036684,,30,1242.0049719474237,0.1852095674048392,0.0052714692303464615,-88.16885140032846
67,14,0.9999720057426189,2.7376570214782796,0.3849056603773584,139.6359093016688,0.04910933888268824,,28,4.130136974930792,0.001749828724018368,0.007,-174.8548580031819
67,15,0.996488474299761,2.7376570214782796,0.5547169811320753,94.65293355135248,0.048883111186224786,,31,56.07822868244648,0.00793892186409928,0.007,-130.03368548824818
67,16,0.9999678490803743,2.7376570214782796,0.5547169811320753,171.3655993001529,0.04917218640844199,,31,1.479417246316416,0.0005967825139197927,0.007,-206.75561211627357
67,17,0.9999678047638636,2.7376570214782796,0.4981132075471697,171.36936109633382,0.049172187610780585,,30,1.4795638373825568,0.0005967260827323892,0.007,-206.7027701185998
67,18,0.9999638071214471,2.7376570214782796,0.5547169811320753,164.57029443363376,0.04916314496024024,,31,1.7665093733073718,0.0008009289034263886,0.007,-199.96012237883147
67,19,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",31,0.0,0.0,0.0,-1000000.0
67,20,0.4839822137129269,0.21199999999999997,0.5547169811320753,38.488788932753124,0.013836331935742584,,31,1248.148555728782,0.1829226244071164,0.0022698711923665204,-42.34821476631298
67,21,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.22e-06, max|ΔY|=1.43e-10",31,0.0,0.0,0.0,-1000000.0
67,22,0.9999845380541097,2.7376570214782796,0.5547169811320753,172.1365043459186,0.049173215271887546,,31,1.4062212544031354,0.0005886798669206342,0.007,-207.52655442828194
67,23,0.6446653271007613,0.34799999999999986,0.5547169811320753,45.67649034583086,0.022483188792293288,,31,1248.1902105461913,0.18290602008593,0.0025245762106518724,-51.50153642990956
67,24,0.9996143904392658,2.7376570214782796,0.5547169811320753,81.75523104188251,0.048938455928580836,,31,114.36405275176412,0.019912665986704325,0.007,-117.14021578976482
67,25,0.9703234526479801,2.1528232770799693,0.4981132075471697,75.49478049905582,0.04647122612868941,,30,1248.7662863660157,0.1826609699550366,0.0059047052238171875,-103.72652100678438
67,26,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.22e-06, max|ΔY|=1.43e-10",31,0.0,0.0,0.0,-1000000.0
67,27,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.22e-06, max|ΔY|=1.43e-10",31,0.0,0.0,0.0,-1000000.0
67,28,0.43737196408285,0.1759999999999999,0.4981132075471697,32.55635041806159,0.011644947241611288,,30,1236.8654988547632,0.18721346207504347,0.002202449275761574,-35.83673453452384
67,29,0.9999845375220029,2.7376570214782796,0.5547169811320753,172.13593844973565,0.049173212892876746,,31,1.4060488547254408,0.000588721440872457,0.007,-207.52598848398665
67,30,0.4247819944027724,0.12799999999999997,0.44150943396226405,34.52415848050306,0.010798859128179994,,29,1248.7920910895787,0.18266227360311854,0.0021125533869549794,-37.1424270914317
67,31,0.999935311062397,2.7376570214782796,0.5547169811320753,142.57842845658493,0.04911437373163579,,31,3.8956621212341815,0.0016407191665027895,0.007,-177.9672524811515
67,32,0.5869615200840846,0.4249555140237799,0.44150943396226405,47.16491311325094,0.0015853398963406678,,29,1248.7932943582036,0.1826619339440331,0.0010769611493784122,-53.324557033509464
67,33,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-0.00145, max|ΔY|=0.00079",31,0.0,0.0,0.0,-1000000.0
67,34,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",31,0.0,0.0,0.0,-1000000.0
67,35,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.24, max|ΔY|=0.000466",30,0.0,0.0,0.0,-1000000.0
67,36,0.9953191430729118,2.7376570214782796,0.4981132075471697,81.3937251088225,0.048763061170457506,,30,99.79519148477993,0.015262242673589416,0.007,-116.71430294059107
67,37,0.9999568323455511,2.7376570214782796,0.5547169811320753,142.20258257710782,0.04911302860278574,,31,3.709472884792376,0.0017143715206088886,0.007,-177.59140122038053
67,38,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-4.4e-07, max|ΔY|=3.97e-11",31,0.0,0.0,0.0,-1000000.0
67,39,0.7860727599378641,0.48400000000000004,0.3849056603773584,64.01663918314912,0.03179220599603779,,28,1248.7225447814953,0.18269069318744008,0.002779281228937225,-71.6314617233851
67,40,0.9999386510068536,2.7376570214782796,0.5547169811320753,131.21119003532112,0.04910947663269584,,31,14.714936842506177,0.0024541814449958455,0.007,-166.59991945785333
67,41,0.9999768574281078,2.7376570214782796,0.5547169811320753,143.682998186432,0.049116453384983605,,31,3.511066425225863,0.0016263593596843526,0.007,-179.07190535043122
67,42,0.5033466187528519,0.1759999999999999,0.5547169811320753,37.104702730169535,0.014206891309739015,,31,1248.7931702982628,0.18266199716159648,0.002202449275761574,-40.55890415624924
67,43,0.9999848681204836,2.7376570214782796,0.5547169811320753,165.44169916263644,0.04916435957454463,,31,1.6603356008565697,0.0007920740942291768,0.007,-200.83157246111926
67,44,0.9997988975539299,2.7376570214782796,0.5547169811320753,117.42882621242936,0.049115596502129585,,31,3.8206880572354294,0.003890978282722793,0.007,-152.8175382788973
67,45,0.9703228856913506,2.1528232770799693,0.4981132075471697,75.49478411477104,0.04647117391960315,,30,1248.7664024573746,0.18266096649933544,0.0059047052238171875,-103.72652301136125
